Name	ReportingUnitType
American Samoa;AS House District 1	state-house
American Samoa;AS House District 2	state-house
American Samoa;AS House District 3	state-house
American Samoa;AS House District 4	state-house
American Samoa;AS House District 5	state-house
American Samoa;AS House District 6	state-house
American Samoa;AS House District 7	state-house
American Samoa;AS House District 8	state-house
American Samoa;AS House District 9	state-house
American Samoa;AS House District 10	state-house
American Samoa;AS House District 11	state-house
American Samoa;AS House District 12	state-house
American Samoa;AS House District 13	state-house
American Samoa;AS House District 14	state-house
American Samoa;AS House District 15	state-house
American Samoa;AS House District 16	state-house
American Samoa;AS House District 17	state-house
American Samoa;US House AS District 1	congressional
American Samoa	territory
American Samoa;Central Office - Swains Island	poll-booth
American Samoa;Dist #1 - Manu'a	poll-booth
American Samoa;Dist #2 - Manu'a	poll-booth
American Samoa;Dist #3 - Vaifanua	poll-booth
American Samoa;Dist #4 - Saole	poll-booth
American Samoa;Dist #5 - Sua No. 1	poll-booth
American Samoa;Dist #6 - Sua No. 2	poll-booth
American Samoa;Dist #7 - Maoputasi No. 1	poll-booth
American Samoa;Dist #8 - Maoputasi No. 2	poll-booth
American Samoa;Dist #9 - Maoputasi No. 3	poll-booth
American Samoa;Dist #10 - Maoputasi No. 4	poll-booth
American Samoa;Dist #11 - Maoputasi No. 5	poll-booth
American Samoa;Dist #12 - Ituau	poll-booth
American Samoa;Dist #13 - Fofo	poll-booth
American Samoa;Dist #14 - Alataua	poll-booth
American Samoa;Dist #15 - Tualauta	poll-booth
American Samoa;Dist #16 - Tualatai	poll-booth
American Samoa;Dist #17 - Leasina	poll-booth
