Name	ElectionDistrict
DC Council Ward 1	District of Columbia;Ward 1
DC Council Ward 2	District of Columbia;Ward 2
DC Council Ward 3	District of Columbia;Ward 3
DC Council Ward 4	District of Columbia;Ward 4
DC Council Ward 5	District of Columbia;Ward 5
DC Council Ward 6	District of Columbia;Ward 6
DC Council Ward 7	District of Columbia;Ward 7
DC Council Ward 8	District of Columbia;Ward 8
DC Council At Large	District of Columbia
US House DC District 1	District of Columbia
US House Delegate DC	District of Columbia
US President (DC)	District of Columbia
US Senate DC	District of Columbia
DC Mayor	District of Columbia
DC Attorney General	District of Columbia
DC Lieutenant Governor	District of Columbia
DC Treasurer	District of Columbia
DC Secretary of State	District of Columbia
